theme,mentions,share_of_negative_comments,late_share_within_theme
Delivery / lateness,5166,0.4772727272727273,0.41338582677165353
Never arrived,2825,0.2609940872135994,0.631981981981982
Refund or service,1713,0.15825942350332595,0.25520431765612955
Wrong or missing item,1544,0.1426459719142646,0.1018005540166205
Product quality,995,0.09192535107169253,0.1912751677852349
Damaged or defective,589,0.05441611234294161,0.05799648506151142
