term,z,n_bad,n_good,gloss
diz,6.609885595566765,74.0,32.0,
houve,6.6068733344698245,96.0,55.0,
casa,6.455927603517097,134.0,100.0,
enviar,6.441625134451132,55.0,14.0,
peças,6.393600905852515,79.0,40.0,
dessa,6.3850234422168555,76.0,37.0,
realizei,6.350043695971273,53.0,13.0,
faço,6.3080204867872665,76.0,38.0,
proceder,6.216847681603583,49.0,9.0,
consegui,6.201322337920886,64.0,27.0,
total,6.199452137364968,63.0,26.0,
incompleto,6.18144312205446,56.0,4.0,
pagamento,6.165264605818909,79.0,43.0,
tipo,6.114451493667751,61.0,25.0,
kits,6.08244756115025,47.0,7.0,
retirar,6.067442551064219,74.0,39.0,
meses,6.05173701574477,47.0,10.0,
efetuei,6.047884332401606,49.0,13.0,
havia,6.040453727720878,84.0,50.0,
código,6.0301844216496345,48.0,12.0,
previsão,6.028767137593977,82.0,48.0,
insatisfeita,6.025061540312581,85.0,2.0,
quebrada,5.991723667056492,50.0,15.0,
consumidor,5.980475179015702,72.0,38.0,
parte,5.975801624851694,95.0,63.0,
peço,5.968723463017407,48.0,13.0,
reembolso,5.935937145140759,80.0,2.0,refund
capa,5.896415182154946,108.0,79.0,
horrível,5.89522418030207,49.0,4.0,horrible
chateada,5.892146208523824,44.0,8.0,
jogo,5.871937393324119,64.0,31.0,
segundo,5.860040871075702,59.0,26.0,
produtos,5.8553748246558195,478.0,584.0,
impressora,5.8530442112864,45.0,11.0,
original,5.833508155906466,159.0,142.0,
emitida,5.80393834513104,43.0,6.0,
película,5.7764526977239665,78.0,47.0,
rastreamento,5.768020326697483,56.0,24.0,
situação,5.750011222491671,42.0,8.0,
cadeiras,5.682168419101287,42.0,5.0,
liguei,5.675266487306469,50.0,3.0,
cartuchos,5.644925542441213,45.0,14.0,
funciona,5.640119088798422,123.0,101.0,
buscar,5.638124440304246,68.0,38.0,
lannister,5.625194553043027,501.0,627.0,
efetuar,5.620735259407031,40.0,7.0,
ficar,5.604080849848486,60.0,30.0,
disponível,5.564194589431291,40.0,5.0,
lençol,5.556480397599677,44.0,14.0,
disseram,5.511775654704044,41.0,4.0,
residência,5.500705920112789,55.0,26.0,
venda,5.486396299260644,70.0,42.0,
pior,5.4610175484461205,58.0,2.0,
desde,5.460903327823819,77.0,50.0,
reais,5.458545842874338,40.0,4.0,
vendido,5.40548942536037,37.0,6.0,
espera,5.38283099337352,44.0,16.0,wait
erro,5.378953387085024,43.0,15.0,
demorando,5.375582797579534,37.0,5.0,
vão,5.363568446165432,37.0,8.0,
quantidade,5.363568446165432,37.0,8.0,
branco,5.331350160373338,38.0,10.0,
avaliação,5.323778283191207,56.0,29.0,
faltou,5.314818318407744,85.0,61.0,was missing
caso,5.312867674558019,53.0,26.0,
ocorrido,5.309276524782636,36.0,5.0,
sido,5.30853603405583,68.0,42.0,
mesma,5.30397756609251,84.0,60.0,
abrir,5.290505967867369,44.0,17.0,
comigo,5.290505967867369,44.0,17.0,
crédito,5.290330864711951,37.0,4.0,
rastreio,5.287662501208756,43.0,16.0,
nome,5.287662501208756,43.0,16.0,
informando,5.273996727576747,40.0,13.0,
esperar,5.2558167714998,38.0,11.0,
cadeira,5.234653536166631,69.0,44.0,
recebemos,5.19769836608721,45.0,19.0,
completo,5.194653351941707,35.0,8.0,
frete,5.143204540030645,192.0,200.0,
devo,5.106693125413397,34.0,8.0,
pagar,5.105787884812863,47.0,22.0,
fora,5.102801432697862,96.0,77.0,
possível,5.096091928689739,43.0,18.0,
feito,5.089349993900007,95.0,76.0,
rosa,5.0805505626355565,38.0,13.0,
mes,5.071457533001195,33.0,7.0,
aparece,5.0663215083213515,36.0,11.0,
simplesmente,5.058252951657374,57.0,33.0,
danificado,5.054903734090928,35.0,10.0,damaged
abri,5.029372485887479,52.0,28.0,
natal,4.990060450441596,40.0,16.0,
pacote,4.987444092200419,39.0,15.0,
entrou,4.980380208541372,37.0,13.0,
foto,4.937540906855081,198.0,213.0,
completamente,4.923121253453022,32.0,8.0,
cortinas,4.923121253453022,32.0,8.0,
vidro,4.910291125221703,47.0,24.0,
estar,4.902724546072182,45.0,22.0,
algo,4.8964624811054245,43.0,20.0,
verdade,4.893752281039291,42.0,19.0,
mandar,4.881256007651625,37.0,14.0,
informar,4.881256007651625,37.0,14.0,
tinta,4.881256007651625,37.0,14.0,
usado,4.881256007651625,37.0,14.0,
alguma,4.877771612888126,36.0,13.0,
procon,4.86936680794236,39.0,2.0,
solicitação,4.866936977615825,34.0,11.0,
difícil,4.866936977615825,34.0,11.0,
transtorno,4.858118860848535,33.0,10.0,
peça,4.834468174703736,51.0,29.0,
meus,4.808287456855039,94.0,79.0,
desta,4.802461299261988,45.0,23.0,
base,4.788387186635594,41.0,19.0,
parceiro,4.750440320130916,62.0,42.0,
pedidos,4.725317935432383,49.0,28.0,
será,4.718847572490059,48.0,27.0,
preta,4.6967124577417145,44.0,23.0,
azul,4.6967124577417145,44.0,23.0,
cabo,4.620749662856098,48.0,28.0,
porem,4.596507270585619,89.0,76.0,
tela,4.5749553637035865,40.0,20.0,
além,4.562131028896145,120.0,116.0,
verificar,4.561836234460759,36.0,16.0,
controle,4.520169514374298,57.0,39.0,
insatisfeito,4.50773558974653,54.0,1.0,
