term,z,n_bad,n_good,gloss
maravilhoso,-5.520149915528758,2.0,177.0,
certeza,-5.706922797372854,18.0,132.0,
mto,-5.713889812957243,10.0,115.0,
perfeitas,-5.76610827569792,2.0,210.0,
feliz,-5.88829305716636,5.0,128.0,
eficiente,-6.052312367523725,4.0,150.0,
serviço,-6.174198991701996,36.0,193.0,
confiável,-6.174584824336101,9.0,132.0,
pena,-6.19909544681095,28.0,173.0,
bastante,-6.3311040885641665,14.0,144.0,
bonita,-6.376154637040083,13.0,144.0,
perfeita,-6.44053831180686,8.0,145.0,
indico,-6.633634047936837,25.0,180.0,
corretamente,-6.682409035729713,41.0,223.0,
custo,-6.728455871847764,8.0,160.0,
acordo,-6.84242153447617,26.0,190.0,
fácil,-7.040352681113315,6.0,194.0,
esperava,-7.0691909644139415,60.0,286.0,
rapidez,-7.212749440647161,7.0,196.0,
melhor,-7.428994492078961,64.0,310.0,
prevista,-7.500397269374183,39.0,248.0,
rapido,-7.582044361176685,13.0,199.0,fast
pouco,-7.867231724562547,53.0,299.0,
linda,-8.019914877155939,8.0,249.0,
amei,-8.340953739796353,3.0,651.0,
atendeu,-8.370595748190247,11.0,253.0,
exatamente,-8.477976837967407,13.0,253.0,
estipulado,-8.539954319975715,19.0,253.0,
condições,-9.029664584597114,19.0,282.0,
minhas,-9.040148581042702,50.0,343.0,
combinado,-9.273808442534651,22.0,298.0,
correto,-9.67364322032308,71.0,428.0,
preço,-10.10142351259284,71.0,450.0,
comprar,-10.221238122786572,159.0,682.0,
adorei,-10.427819696684907,6.0,749.0,
expectativas,-10.480526146080438,22.0,382.0,
obrigada,-10.49762461300914,30.0,383.0,
certinho,-10.509175784793932,14.0,424.0,
esperado,-10.63497410213605,20.0,399.0,
lindo,-10.637396922882264,9.0,559.0,
bonito,-10.674634914393321,23.0,396.0,
estado,-10.730340090076512,19.0,411.0,
otimo,-10.885572141692665,9.0,606.0,excellent
obrigado,-11.123370584461789,31.0,428.0,thank you
atendimento,-11.16862260913042,95.0,571.0,
satisfeito,-11.64301592495963,15.0,550.0,satisfied
parabéns,-12.133942282348256,9.0,910.0,
sempre,-12.246178264234853,125.0,714.0,
conforme,-12.721682389573566,117.0,724.0,
ótima,-12.788626583926714,12.0,858.0,
perfeito,-13.250670896458429,13.0,914.0,perfect
satisfeita,-13.440778192566377,30.0,643.0,
certo,-14.28064601687607,77.0,741.0,correct
embalado,-14.344491238660193,44.0,711.0,
previsto,-15.071682953668708,54.0,783.0,
ótimo,-15.26399452987097,12.0,1722.0,excellent
excelente,-15.607831964636373,13.0,1728.0,excellent
boa,-15.633521298329509,150.0,1023.0,good
rápido,-15.722979375330011,36.0,905.0,fast
rápida,-16.721872069406015,23.0,1340.0,
gostei,-17.301716330697516,255.0,1434.0,
dentro,-17.524087285691866,142.0,1170.0,
qualidade,-20.255984561273042,419.0,2138.0,quality
super,-20.831957260554162,67.0,1558.0,very
chegou,-21.208692387470816,1105.0,3915.0,arrived
entrega,-22.65373220925818,1299.0,4546.0,delivery
tudo,-24.308488282680116,109.0,2048.0,
recomendo,-33.49376075426326,338.0,3847.0,I recommend
bom,-33.75600419697519,210.0,3897.0,good
antes,-37.70447146224642,182.0,5242.0,before
prazo,-43.797499887587286,852.0,6970.0,deadline
