model,n_train,n_test,cutoff,test_bad_rate,roc_auc,pr_auc,pr_auc_baseline,brier,brier_baseline,detractor_capture_top5pct,detractor_capture_top10pct,detractor_capture_top20pct
post_hoc (includes realised delivery),71670,23890,2018-05-06 13:07:46,0.09983256592716618,0.7314153551146264,0.3429123614397772,0.09983256592716618,0.07784190868531292,0.0912622205370572,0.259958071278826,0.37777777777777777,0.5119496855345912
at_risk (checkout-time features only),71670,23890,2018-05-06 13:07:46,0.09983256592716618,0.6337059442565403,0.17735100526348996,0.09983256592716618,0.0917617997399101,0.0912622205370572,0.13626834381551362,0.22138364779874214,0.35052410901467507
