decile,orders,predicted,actual,avg_score
0,2389,0.0535444499779677,0.05609041439933026,4.505650899958141
1,2389,0.0704093894966354,0.05860192549183759,4.480117203850984
2,2389,0.08304606742168573,0.06739221431561322,4.43197990791126
3,2389,0.09604349521818518,0.0757639179573043,4.390539974884889
4,2389,0.11092331676710993,0.08329845123482629,4.358727501046463
5,2389,0.128358441803896,0.07911259941398074,4.350774382586857
6,2389,0.1492634003032501,0.10548346588530766,4.268313101716199
7,2389,0.17906519974669582,0.12264545835077438,4.173294265383006
8,2389,0.2288946144100597,0.1289242360820427,4.160736709920469
9,2389,0.38020267151226056,0.22101297614064463,3.7974047718710757
