main_category,orders,avg_score,bad_rate,late_rate,avg_delivery_days,avg_handling_days,avg_transit_days,avg_delay_days,gmv,avg_order_value,avg_freight_ratio,excess_detractors,gmv_exposure,sar_share
bed_bath_table,9086,4.009355051727933,0.15771516618974246,0.0865067136253577,12.959233680631986,2.801805493468435,9.825947942658644,-10.687899118301662,1013794.3200000001,133.57879264802992,0.2716827594209471,271.29271661783173,30270.197574788403,0.2817376267324096
office_furniture,1236,3.6521035598705502,0.21844660194174756,0.09061488673139159,20.544748966199208,9.866557225381351,10.185439721097616,-11.121154710535778,265115.97000000003,268.0823786407767,0.2642717154847256,111.9689409794893,24016.791583859274,0.22353451264550328
computers_accessories,6468,4.08426097711812,0.14471243042671614,0.07606679035250463,13.136035203222704,3.143101032255818,9.575339866501727,-11.64959737682952,883850.32,158.80216141001856,0.2977819325718208,109.02193386354121,14897.815573950174,0.13866031739408602
furniture_decor,6095,4.082526661197703,0.14782608695652175,0.0859721082854799,13.066629637225413,3.2454050964339713,9.400107626917674,-11.394960919697384,698104.15,141.50283347005742,0.32404384032004696,121.71253662620347,13940.611472646375,0.1297512109657727
watches_gifts,5432,4.122054491899853,0.13678203240058912,0.08394698085419734,12.761044888316151,2.5186611288072784,9.887256970013091,-11.113453966208477,1157236.04,231.02019882179675,0.16517656200210296,48.481624110506566,10328.54983402267,0.09613221422276466
unknown,1347,4.041573867854491,0.16481069042316257,0.08834446919079436,12.730200342324506,3.2244193052439125,9.126804936896807,-10.648380660727543,170505.69,146.40469190794357,0.3073263591633616,49.7768313101716,6300.841105088652,0.058644612906134916
baby,2730,4.122710622710622,0.13736263736263737,0.0912087912087912,12.60832036019536,2.9561909477245534,9.29272334147334,-10.76904889092389,396608.08,169.45694505494507,0.28579575261383655,25.950816241105098,3770.074506892861,0.03508968983608555
telephony,4042,4.059376546264225,0.1392874814448293,0.0851063829787234,12.96657560888449,3.035670235411971,9.472802758535378,-10.486080701248007,307144.62,92.976345868382,0.508652383358558,46.20263708664717,3510.858834976782,0.03267705912771154
electronics,2482,4.128928283642224,0.1305398871877518,0.09871071716357777,12.929649028561197,2.334670981111564,10.201896432088818,-10.264724348643567,151078.08,79.07830781627719,0.6888825294518084,6.659313520301367,405.349033346161,0.003772756169531611
toys,3736,4.242237687366167,0.11268736616702356,0.07360813704496788,11.620446518855578,2.4125049010737123,8.89014896353795,-11.301181819533667,463601.5,144.20179068522484,0.26118345479532484,-56.673168689828366,0.0,0.0
stationery,2231,4.305244285073958,0.0972658000896459,0.07754370237561632,12.791887979979082,2.7563102904040404,9.711894578913293,-11.29171584740276,222855.03,120.26567458538773,0.30745254160477997,-68.24861866889911,0.0,0.0
sports_leisure,7431,4.235096218543937,0.11196339658188668,0.07724397793029202,12.221670105713303,2.3602816515495086,9.496338162951,-11.088164072429313,946442.64,149.10820078051407,0.28165777655955365,-118.10420678108,0.0,0.0
small_appliances,601,4.26955074875208,0.11314475873544093,0.06156405990016639,10.966131678683675,2.3348055086336337,8.30123520983546,-13.212406405990016,180858.74,326.47216306156406,0.2549398637515923,-8.841963164503978,0.0,0.0
pet_shop,1670,4.275449101796407,0.1059880239520958,0.061676646706586825,11.316581836327344,2.8291860975939445,8.197847138955503,-11.652453010645377,210298.8,149.13769461077845,0.28791937689524794,-36.520929259104236,0.0,0.0
perfumery,3033,4.265413781734257,0.11605670952851961,0.07451368282228817,11.87050637432685,2.5412284859298913,8.991868154009598,-11.423090907425724,383018.76,143.47358720738544,0.25783605171861657,-35.78980745081626,0.0,0.0
auto,3766,4.155337227827935,0.12745618693574085,0.08576739245884227,12.228588762022776,2.500833858008035,9.350790910432345,-10.502051248008497,570605.29,175.25742963356345,0.32177775713442736,-1.5088740058601702,0.0,0.0
musical_instruments,602,4.2425249169435215,0.11461794019933555,0.08970099667774087,13.104144748984865,2.8617950689783744,9.738342100406054,-10.71921142488003,181822.49,331.49084717607974,0.2494684221337897,-7.969820008371703,0.0,0.0
luggage_accessories,1008,4.371031746031746,0.08134920634920635,0.05357142857142857,10.854153576940035,1.6881230398745521,8.852387841710758,-11.935227210097,138013.9,166.6083630952381,0.25846610910511225,-46.8796986186689,0.0,0.0
home_appliances,744,4.209677419354839,0.11021505376344086,0.06720430107526881,11.308848566308242,2.6980352534911964,8.275163343787336,-11.914333183990442,78610.63,125.05810483870967,0.3927541205385911,-13.12549183758895,0.0,0.0
health_beauty,8530,4.2349355216881595,0.11313012895662368,0.08851113716295428,12.015144017845513,2.6272962565285396,9.015026510858378,-11.214615084017195,1221785.74,164.0132368112544,0.2792294314688321,-125.61887819171203,0.0,0.0
garden_tools,3376,4.201125592417061,0.11700236966824644,0.07997630331753554,13.62267250032912,2.6600967634300967,10.533529835390947,-11.110725834320695,463279.26,165.35667357819906,0.32547780782274577,-36.64470489744665,0.0,0.0
fashion_bags_accessories,1795,4.245125348189415,0.10083565459610028,0.06629526462395544,11.19648986381925,2.1867076361471454,8.6186610182606,-12.365532342927887,148147.32,99.41699164345404,0.32886660378468996,-48.503034742570115,0.0,0.0
cool_stuff,3495,4.228898426323319,0.10958512160228899,0.06723891273247497,12.351742171355905,2.4675389419367284,9.494354409145837,-11.655588936576061,602344.28,195.4474363376252,0.20787122140499506,-63.859669317706135,0.0,0.0
construction_tools_construction,719,4.150208623087622,0.12656467315716272,0.09040333796940195,10.7981706845928,2.07269903450459,8.346410910214804,-10.3769297635605,140257.93,223.00582753824756,0.3386931614889938,-0.9290707408957795,0.0,0.0
consoles_games,997,4.179538615847543,0.11133400200601805,0.0802407221664995,13.680026189680152,3.5247201071630005,9.768852493306559,-10.71260796277722,142481.13999999998,161.6763590772317,0.3781148724750646,-16.473273336123906,0.0,0.0
housewares,5637,4.207557211282597,0.11459996452013482,0.06918573709419905,11.08115390869848,2.706400960727623,8.041049861973775,-11.34446896004573,609987.85,133.3200993436225,0.37459446106483957,-74.72902888237756,0.0,0.0
