delay_bucket,orders,avg_score,bad_rate
15+ d early,29209,4.320175288438495,0.09127323770070869
10-15 d early,27443,4.328171118317968,0.08712604307109281
5-10 d early,22437,4.279493693452779,0.09132236930070865
2-5 d early,5824,4.157967032967033,0.10885989010989011
0-2 d early,2989,4.139846102375376,0.11441953830712613
0-2 d late,2099,3.9180562172463076,0.15245354930919486
2-5 d late,1468,2.809264305177112,0.46185286103542234
5-10 d late,1861,1.892530897367007,0.737775389575497
10+ d late,2230,1.701793721973094,0.7914798206278026
