customer_state,orders,median_promised,median_actual,p92_actual,late_rate,avg_score,padding_days,safe_trim_days
AP,66,47.10520833333334,24.22013888888889,35.64694444444445,0.045454545454545456,4.242424242424242,22.885069444444447,11.458263888888887
RO,242,37.962152777777774,17.515972222222224,30.695444444444444,0.028925619834710745,4.1652892561983474,20.44618055555555,7.26670833333333
AC,80,40.24583333333334,18.35659722222222,33.840583333333356,0.0375,4.0875,21.889236111111117,6.405249999999981
AM,144,45.38125,25.8625,40.02988888888889,0.041666666666666664,4.243055555555555,19.51875,5.35136111111111
PR,4880,24.0375,10.419097222222222,21.28477777777778,0.04938524590163934,4.24016393442623,13.61840277777778,2.7527222222222214
MG,11251,23.586111111111112,10.302083333333334,21.386805555555554,0.05528397475779931,4.194293840547507,13.284027777777778,2.199305555555558
MT,878,31.20451388888889,16.08888888888889,29.029694444444445,0.06605922551252848,4.145785876993166,15.115625000000001,2.174819444444445
SP,40171,18.663194444444443,7.2,16.98986111111111,0.05840033855268726,4.248139204899057,11.463194444444444,1.673333333333332
DF,2064,24.06111111111111,11.355902777777779,22.924277777777778,0.07122093023255814,4.1390503875969,12.705208333333331,1.1368333333333318
GO,1939,26.956944444444446,13.934722222222222,26.051,0.07993811242908716,4.102630221763796,13.022222222222224,0.9059444444444473
RS,5309,28.009027777777778,13.172916666666667,27.989083333333344,0.07119984931248823,4.186852514597852,14.83611111111111,0.019944444444433884
SE,331,29.53125,17.898611111111112,36.788194444444464,0.1510574018126888,3.900302114803625,11.632638888888888,0.0
SC,3510,25.09027777777778,12.978819444444444,27.35894444444445,0.09658119658119659,4.133618233618233,12.111458333333335,0.0
RR,40,44.30243055555556,25.13125,53.22430555555555,0.125,3.9,19.17118055555556,0.0
RN,467,31.71527777777778,16.043055555555554,35.699194444444444,0.10706638115631692,4.143468950749464,15.672222222222224,0.0
RJ,12172,24.592708333333334,12.021180555555556,31.864972222222217,0.133338810384489,3.9644265527440026,12.571527777777778,0.0
PA,929,36.09166666666667,21.06111111111111,42.27305555555556,0.11948331539289558,3.9041980624327235,15.030555555555559,0.0
PI,470,29.493402777777778,16.292361111111113,32.785500000000006,0.1595744680851064,3.9936170212765956,13.201041666666665,0.0
PE,1573,30.99375,15.657638888888888,33.761944444444445,0.10680228862047043,4.080737444373808,15.33611111111111,0.0
PB,511,32.421527777777776,18.15138888888889,35.25166666666667,0.10763209393346379,4.074363992172211,14.270138888888887,0.0
AL,393,31.41875,22.286805555555556,42.34405555555557,0.2340966921119593,3.8575063613231553,9.131944444444443,0.0
MS,699,25.629166666666666,13.94375,26.356277777777787,0.11587982832618025,4.163090128755365,11.685416666666667,0.0
MA,709,30.180555555555557,19.131944444444443,36.12433333333333,0.19322990126939352,3.8307475317348376,11.048611111111114,0.0
ES,1966,25.030208333333334,13.577430555555555,26.976527777777783,0.1190233977619532,4.08087487283825,11.45277777777778,0.0
CE,1267,31.194444444444443,18.16111111111111,38.08719444444445,0.15311760063141278,3.935280189423836,13.033333333333331,0.0
BA,3226,29.010416666666668,16.886111111111113,33.2375,0.13732176069435834,3.929944203347799,12.124305555555555,0.0
TO,273,28.36111111111111,15.884027777777778,28.82766666666667,0.1282051282051282,4.153846153846154,12.477083333333333,0.0
