seller_state,customer_state,orders,avg_score,bad_rate,late_rate,avg_delivery_days,avg_transit_days,avg_distance_km,gmv,lane,excess_detractors,gmv_exposure,sar_share
SP,RJ,8047,3.887162917857587,0.20156580091959736,0.15359761401764632,16.20494214545103,12.851694040567224,440.3738026521266,1044224.55,SP to RJ,593.1359773964001,76968.70250845856,0.4514072645119407
SP,BA,2288,3.870629370629371,0.18269230769230768,0.1472902097902098,19.76252458479021,16.46417237276612,1388.5043021156027,310023.56,SP to BA,125.46354123064042,17000.28570914769,0.09970354465887545
PR,RJ,954,3.888888888888889,0.20230607966457023,0.13626834381551362,17.159881638714186,13.679179769392034,843.37314672929,144569.54,PR to RJ,71.02457095018836,10763.091772501148,0.06312355095477651
SP,SC,2300,4.034782608695652,0.14956521739130435,0.10956521739130434,15.767374396135263,12.492436659897496,561.1513189495026,296786.42,SP to SC,49.92925910422772,6442.750462085283,0.037785544867452434
SP,MA,486,3.7098765432098766,0.2242798353909465,0.20781893004115226,21.877612025605853,18.484587905807043,2178.1684156175,66237.2,SP to MA,46.86157388028464,6386.788974121789,0.037457341047245865
SP,PA,671,3.8599105812220564,0.18479880774962743,0.12816691505216096,23.22421344593476,19.870772271899323,2321.162704552832,109408.97,SP to PA,38.20805776475513,6229.961618095918,0.0365375774878108
SP,CE,961,3.959417273673257,0.1696149843912591,0.15192507804370448,21.105330095964852,17.846574748525843,2257.68925134711,148465.03,SP to CE,40.12957304311427,6199.623585570396,0.03635965051455157
SP,AL,253,3.727272727272727,0.23715415019762845,0.25691699604743085,24.970959595959595,21.650691699604742,1902.7918980033674,41107.47,SP to AL,27.652218501465047,4492.93574103723,0.026350240635362926
SP,PE,1115,4.043946188340807,0.15426008968609867,0.10672645739910314,18.844000996512207,15.588195067264575,2048.288998246127,155782.54,SP to PE,29.439619087484317,4113.164697830304,0.02412295341123381
SC,RJ,461,3.9609544468546636,0.18004338394793926,0.09978308026030369,16.287716919739697,13.146621173776813,785.0157038608129,76791.19,SC to RJ,24.057994976977813,4007.466514742189,0.023503053034370305
SP,DF,1371,4.080233406272794,0.14514952589350838,0.08315098468271334,13.261909392981602,10.093282478320772,806.9586901602061,174279.8,SP to DF,23.70826705734616,3013.765164916759,0.017675177632453208
SP,ES,1443,4.054747054747055,0.14414414414414414,0.1386001386001386,15.679360129360129,12.365891372141373,784.9144893417053,181108.26,SP to ES,23.502574298869817,2949.764613159413,0.017299826183689165
SP,GO,1411,4.053862508858965,0.14245216158752658,0.09071580439404678,15.985627805339004,12.78462477360422,747.1207114441374,184227.63,SP to GO,20.593993302637088,2688.860792615665,0.01576967332812525
