group,stage,days,median_days
On time,Payment approval,0.41937476927705974,0.013888888888888888
On time,Seller handling,2.5992328618307496,1.7770833333333333
On time,Carrier transit,7.89117993209406,6.926388888888889
Late,Payment approval,0.5145456095296131,0.017361111111111112
Late,Seller handling,5.310980948321091,3.0197916666666664
Late,Carrier transit,25.568260705527255,23.868055555555557
