purchase_month,orders,gmv,avg_score,bad_rate,late_rate,avg_delivery_days,active_sellers,gmv_per_seller
2017-01-01,741,110660.0,4.199730094466936,0.12010796221322537,0.029689608636977057,12.575982156245313,219,505.29680365296804
2017-02-01,1643,233035.02,4.202069385270846,0.11077297626293366,0.02799756542909312,12.954302343274499,399,584.0476691729323
2017-03-01,2527,353291.42,4.18796992481203,0.11278195488721804,0.05500593589236249,12.94564838631667,474,745.3405485232067
2017-04-01,2290,338491.56,4.138427947598253,0.12838427947598252,0.07729257641921397,14.837122755943717,482,702.2646473029046
2017-05-01,3517,484800.2,4.240545919818027,0.10065396644867786,0.034404321865226045,11.256050374372098,555,873.5138738738739
2017-06-01,3111,419278.13,4.223079395692704,0.10671809707489553,0.03792992606878817,11.993120959677132,516,812.554515503876
2017-07-01,3842,477022.56,4.259760541384695,0.10020822488287351,0.03357626236335242,11.54750419341778,591,807.1447715736041
2017-08-01,4165,548476.37,4.310924369747899,0.09459783913565427,0.033133253301320525,11.146952947845806,676,811.3555769230769
2017-09-01,4118,603608.68,4.267362797474502,0.10271976687712482,0.05123846527440505,11.817912551939994,708,852.5546327683617
2017-10-01,4446,641918.45,4.205353126405758,0.11043634727845254,0.05150697255960414,11.806909612885491,757,847.9768163804491
2017-11-01,7237,978646.18,3.989636589747133,0.16553820643913222,0.1414950946524803,15.127378978398045,932,1050.0495493562232
2017-12-01,5461,715880.1,4.090825856070317,0.14374656656290058,0.08258560703167918,15.342377769639262,841,851.2248513674197
2018-01-01,7013,915586.88,4.1089405389990015,0.1371738200484814,0.06487950948238985,14.03490640397991,946,967.8508245243129
2018-02-01,6507,820193.91,3.8828953434762563,0.1925618564622714,0.15890579376056554,16.912036610146338,924,887.6557467532468
2018-03-01,6948,943358.51,3.8141911341393206,0.21128382268278642,0.21056419113413932,16.221302992867653,975,967.5471897435898
2018-04-01,6752,968034.66,4.205568720379147,0.1178909952606635,0.0519845971563981,11.457072081523169,1100,880.0315090909091
2018-05-01,6722,972258.23,4.2360904492710505,0.10785480511752454,0.08182088664088069,11.402489028562927,1098,885.4810837887068
2018-06-01,6072,853592.86,4.307312252964427,0.09980237154150198,0.013669301712779974,9.240892850607525,1147,744.1960418483
2018-07-01,6118,855564.35,4.317750898986597,0.09676364825106244,0.043478260869565216,8.933357737641204,1228,696.7136400651466
2018-08-01,6330,835272.25,4.310268562401264,0.09541864139020537,0.10284360189573459,7.729827979638406,1241,673.0638597904915
